,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound, Robust",y Train Avg,y Test Avg
0,-25.0,-9.313244457392887,5.4697041203025245,1.8252211386816797,0.26150127530791945,6.504909397454822,2.6020852139652106e-18,6.938893903907228e-18
1,-19.444444444444443,-9.313244457392887,2.727061726588476,-0.9120483870142846,-4.510292889581423,3.8102003826355406,2.6020852139652106e-18,6.938893903907228e-18
2,-13.88888888888889,-9.313244457392887,0.00660549711776435,-3.2313348340278365,-21.68775528444071,1.1905246007020822,2.6020852139652106e-18,6.938893903907228e-18
3,-8.333333333333336,-9.313244457392887,-2.669795447614114,-4.235773706180156,,-1.3352305415139898,2.6020852139652106e-18,6.938893903907228e-18
4,-2.7777777777777786,-9.313244457392887,-5.095094432614314,-5.689320145699526,,-3.6201313003016256,2.6020852139652106e-18,6.938893903907228e-18
5,2.7777777777777786,-9.313244457392887,-7.007388721193317,-7.231260809926451,,-5.553886978045439,2.6020852139652106e-18,6.938893903907228e-18
6,8.333333333333329,-9.313244457392887,-8.250355770294108,-8.263225470288564,,-7.183466921311,2.6020852139652106e-18,6.938893903907228e-18
7,13.888888888888886,-9.313244457392887,-8.996431547548424,-8.984986416300258,,-8.389684691035756,2.6020852139652106e-18,6.938893903907228e-18
8,19.444444444444443,-9.313244457392887,-8.940417248189567,-8.92826113621926,,-9.05041460991397,2.6020852139652106e-18,6.938893903907228e-18
9,25.0,-9.313244457392887,-8.890863984037306,-8.895473715333951,,-9.440088178665492,2.6020852139652106e-18,6.938893903907228e-18
