,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound, Robust",y Train Avg,y Test Avg
0,-25.0,-15.421792709920556,5.501499197305706,1.7964905722156985,1.6339952805613547,6.4359059112661985,2.3418766925686896e-17,3.5561831257524545e-17
1,-19.444444444444443,-15.421792709920556,2.7309643584577388,-0.9867481446355848,-1.2970939294492465,3.6806420202576624,2.3418766925686896e-17,3.5561831257524545e-17
2,-13.88888888888889,-15.421792709920556,-0.06723872772472482,-3.4031035511278547,-4.333367096965453,0.9459806018143933,2.3418766925686896e-17,3.5561831257524545e-17
3,-8.333333333333336,-15.421792709920556,-2.8168786449844605,-4.680403895512112,-7.753796003634221,-1.756513273588972,2.3418766925686896e-17,3.5561831257524545e-17
4,-2.7777777777777786,-15.421792709920556,-5.5720546138107965,-6.436517897825748,-11.850703956555995,-4.391694119137356,2.3418766925686896e-17,3.5561831257524545e-17
5,2.7777777777777786,-15.421792709920556,-8.271720390749612,-8.68863143436163,-19.967748350198406,-6.909942465923049,2.3418766925686896e-17,3.5561831257524545e-17
6,8.333333333333329,-15.421792709920556,-10.790751228354857,-10.955662372121983,,-9.226359886287224,2.3418766925686896e-17,3.5561831257524545e-17
7,13.888888888888886,-15.421792709920556,-12.915265248778969,-12.999764755873604,,-11.27558289602527,2.3418766925686896e-17,3.5561831257524545e-17
8,19.444444444444443,-15.421792709920556,-14.223949111454255,-14.221596815288391,,-12.867467401385085,2.3418766925686896e-17,3.5561831257524545e-17
9,25.0,-15.421792709920556,-15.144190284572387,-15.138413371285965,,-14.156224954955107,2.3418766925686896e-17,3.5561831257524545e-17
