,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-2.6614031651026537,13.244267488246582,9.64896658113925
1,-19.444444444444443,-2.6614031651026537,10.464228873138584,6.900248412789236
2,-13.88888888888889,-2.6614031651026537,7.698536950825286,4.212386517777414
3,-8.333333333333336,-2.6614031651026537,4.994399082848425,1.7284407599124236
4,-2.7777777777777786,-2.6614031651026537,2.4184096193838114,-0.24652670188214687
5,2.7777777777777786,-2.6614031651026537,0.25913536745765275,-1.4329589985140587
6,8.333333333333329,-2.6614031651026537,-1.179719902909552,-2.0607756176392993
7,13.888888888888886,-2.6614031651026537,-1.9279453950087553,-2.3451292774202206
8,19.444444444444443,-2.6614031651026537,-2.291855712973504,-2.5084743529853446
9,25.0,-2.6614031651026537,-2.4760464136600375,-2.5827886634908865
