,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound (CLN), Robust","Lower bound (FLD), Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-3.0,-7.447139361980719,-1.823764309948628,-5.422458281000758,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
1,-1.5555555555555556,-7.447139361980719,-2.466197684213352,-5.773445941430583,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
2,-0.11111111111111116,-7.447139361980719,-3.11212783865757,-6.064908268251968,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
3,1.333333333333333,-7.447139361980719,-3.7369045095821636,-6.320161791911562,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
4,2.7777777777777777,-7.447139361980719,-4.300788622219558,-6.513882897808719,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
5,4.222222222222222,-7.447139361980719,-4.826032454163379,-6.67820797013393,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
6,5.666666666666666,-7.447139361980719,-5.309732125055719,-6.803916486471108,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
7,7.111111111111111,-7.447139361980719,-5.72122563633744,-6.9101935162047,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
8,8.555555555555555,-7.447139361980719,-6.101436650835894,-6.9936019547091615,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
9,10.0,-7.447139361980719,-6.407126671533735,-7.063003777767703,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
