,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound (CLN), Robust","Lower bound (FLD), Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-3.0,-1.1388533994374195,0.14157019709979352,-0.9846038749104141,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
1,-1.5555555555555556,-1.1388533994374195,-0.14652191934867184,-1.0149349564875179,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
2,-0.11111111111111116,-1.1388533994374195,-0.3698683300930745,-1.046170774681174,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
3,1.333333333333333,-1.1388533994374195,-0.5638247651155941,-1.0725340340605893,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
4,2.7777777777777777,-1.1388533994374195,-0.7198388712202157,-1.094791248403974,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
5,4.222222222222222,-1.1388533994374195,-0.847698964594177,-1.1110693206398319,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
6,5.666666666666666,-1.1388533994374195,-0.9167263365199474,-1.124870332323706,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
7,7.111111111111111,-1.1388533994374195,-0.9709545111037866,-1.1263658475150855,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
8,8.555555555555555,-1.1388533994374195,-1.0273364751031464,-1.1302225052856762,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
9,10.0,-1.1388533994374195,-1.0524607968800497,-1.138559215996516,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
