,SNR,"GradBoost, Noiseless","GradBoost, Non-Robust","GradBoost, Robust"
0,-3.0,-4.7900478515277864,5.446314688473807,-1.873604306264566
1,-1.5555555555555556,-4.7900478515277864,4.659683683751694,-2.0302632061904333
2,-0.11111111111111116,-4.7900478515277864,3.9709598841792477,-2.1430159758543943
3,1.333333333333333,-4.7900478515277864,3.350764679521388,-2.1520614426441425
4,2.7777777777777777,-4.7900478515277864,2.6528328584526992,-2.2812801798527524
5,4.222222222222222,-4.7900478515277864,1.9649474126573154,-2.4165813694204417
6,5.666666666666666,-4.7900478515277864,1.2278718881658701,-2.503520707107789
7,7.111111111111111,-4.7900478515277864,0.6111265336230989,-2.63326835284389
8,8.555555555555555,-4.7900478515277864,0.03539818564465242,-2.8752300493843626
9,10.0,-4.7900478515277864,-0.5759173149945536,-2.8979975403562013
