,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,16.777687531667524,27.845751227444858,24.296900663982637
1,-20.0,16.777687531667524,25.342284791770492,21.944649408708116
2,-15.0,16.777687531667524,22.937589783605542,19.80956728492421
3,-10.0,16.777687531667524,20.68800948961934,18.17929929328478
4,-5.0,16.777687531667524,18.856867489025056,17.322214021818517
5,0.0,16.777687531667524,17.61562551474038,16.90662462298771
6,5.0,16.777687531667524,17.056846419744904,16.818482721665266
7,10.0,16.777687531667524,16.829922799038094,16.85416480329041
8,15.0,16.777687531667524,16.782230186792905,16.81891436041029
9,20.0,16.777687531667524,16.694526608006633,16.663611918304188
