,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound (CLN), Robust","Lower bound (FLD), Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-3.0,-7.845962188121741,-3.18770479703641,-5.216104026166633,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
1,-1.5555555555555556,-7.845962188121741,-3.803638637333315,-5.634598195282683,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
2,-0.11111111111111116,-7.845962188121741,-4.386627937092272,-6.006256401477672,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
3,1.333333333333333,-7.845962188121741,-4.935086003062935,-6.348089370202694,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
4,2.7777777777777777,-7.845962188121741,-5.471106021831961,-6.638671298275691,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
5,4.222222222222222,-7.845962188121741,-5.913595175658677,-6.880504870546588,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
6,5.666666666666666,-7.845962188121741,-6.314212566506732,-7.088382083453166,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
7,7.111111111111111,-7.845962188121741,-6.6416390304878625,-7.238101726375509,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
8,8.555555555555555,-7.845962188121741,-6.922994495861095,-7.364604793509408,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
9,10.0,-7.845962188121741,-7.1497712242053595,-7.466091549181747,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
