,SNR,"GradBoost, Noiseless","GradBoost, Non-Robust","GradBoost, Robust"
0,-25.0,-6.271569115187648,17.189043835572193,14.858261535362761
1,-20.0,-6.271569115187648,14.69461661238846,12.208666584612251
2,-15.0,-6.271569115187648,12.192823076370074,8.29565870285601
3,-10.0,-6.271569115187648,9.696261072947925,5.6558544133640964
4,-5.0,-6.271569115187648,7.196906048247119,1.6934129848357904
5,0.0,-6.271569115187648,4.7178763472279535,-1.11992348425502
6,5.0,-6.271569115187648,2.2823750860290364,-2.3234891752336977
7,10.0,-6.271569115187648,-0.06301059057705571,-3.6989613228832035
8,15.0,-6.271569115187648,-2.2114748701092806,-4.762427795354858
9,20.0,-6.271569115187648,-3.9623811432885176,-5.525519512864578
